Agent,SR (pass@1),SR (pass@2),SR (pass@3),Avg. IRR,MTPR,FRR,Avg Step Ratio (pass@1),Avg Time/Step (pass@1),Avg Cost/Step (pass@1),Avg Step Ratio (pass@2),Avg Time/Step (pass@2),Avg Cost/Step (pass@2),Avg Step Ratio (pass@3),Avg Time/Step (pass@3),Avg Cost/Step (pass@3),SR (pass@1) Difficulty 1,SR (pass@2) Difficulty 1,SR (pass@3) Difficulty 1,SR (pass@1) Difficulty 2,SR (pass@2) Difficulty 2,SR (pass@3) Difficulty 2,SR (pass@1) Difficulty 3,SR (pass@2) Difficulty 3,SR (pass@3) Difficulty 3,IRR Difficulty 1,IRR Difficulty 2,IRR Difficulty 3,Count Difficulty 1,Count Difficulty 2,Count Difficulty 3
agent_performance_analysis/rebuttal/on-memgui-128/250923_M3A_gemini-2.5-pro-add-irr.csv,32.8125,39.8438,47.6562,39.3030,0.4145,16.2791,0.8066,14.6601,0.0165,0.7894,14.4888,0.0162,0.7954,14.4617,0.0162,39.5833,45.8333,47.9167,35.7143,40.4762,50.0000,21.0526,31.5789,44.7368,31.6667,48.6585,36.4432,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/251121-agent-s2.csv,27.3438,36.7188,49.2188,39.4662,0.4522,21.5054,0.8595,28.1056,0.0085,0.8534,27.6066,0.0087,0.8607,27.4682,0.0087,41.6667,50.0000,64.5833,19.0476,30.9524,42.8571,18.4211,26.3158,36.8421,38.7222,42.4790,36.9203,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/251121-owl.csv,6.2500,8.5938,10.1562,5.7391,0.0678,3.3333,0.9234,9.6281,0.0000,0.9641,9.5826,0.0000,0.9316,9.5993,0.0000,14.5833,20.8333,22.9167,0.0000,0.0000,2.3810,2.6316,2.6316,2.6316,9.8889,4.9756,2.6316,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/251121-tars.csv,3.1250,4.6875,6.2500,3.7957,0.0377,2.4194,0.9894,9.9302,0.0000,1.0186,10.1519,0.0000,1.0378,10.2591,0.0000,8.3333,12.5000,16.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2639,1.7073,0.8684,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/appagent-251124.csv,3.1250,5.4688,9.3750,1.4522,0.0377,4.4355,1.4588,27.2857,0.0078,1.3922,31.2774,0.0081,1.2234,33.8843,0.0083,8.3333,14.5833,22.9167,0.0000,0.0000,2.3810,0.0000,0.0000,0.0000,4.6389,0.0000,0.0000,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/cogagent-251124.csv,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.1894,0.0027,0.0000,35.6530,0.0027,0.0000,32.8426,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/mobileagent-v2-251124.csv,3.1250,3.9062,3.9062,0.0000,0.0000,0.8065,0.9187,29.3757,0.0055,0.9350,28.9009,0.0058,0.9350,28.8345,0.0057,8.3333,10.4167,10.4167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/mobileagente.csv,5.4688,8.5938,10.1562,2.4203,0.0188,4.1322,0.8486,39.3288,0.0232,1.0012,38.8201,0.0238,0.9753,38.6738,0.0235,12.5000,18.7500,22.9167,2.3810,2.3810,2.3810,0.0000,2.6316,2.6316,0.8611,4.3659,1.7982,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/seeact.csv,2.3438,3.9062,5.4688,0.1739,0.0000,2.4000,1.0111,15.9476,0.0133,1.0432,15.9557,0.0133,0.9851,16.3473,0.0134,6.2500,10.4167,12.5000,0.0000,0.0000,2.3810,0.0000,0.0000,0.0000,0.0000,0.4878,0.0000,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/session-memgui-eval-v25090301-results_add_irr.csv,51.5625,60.9375,67.9688,55.2000,0.5652,26.6129,0.8914,39.2130,0.0353,0.8861,38.5349,0.0354,0.8914,38.7799,0.0358,52.0833,62.5000,68.7500,50.0000,57.1429,64.2857,52.6316,63.1579,71.0526,47.2222,54.3415,63.6842,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/T3A_gemini-2.5-pro.csv,22.6562,35.1562,42.1875,0.0000,0.2967,20.7071,0.8338,13.8555,0.0176,0.8256,14.2832,0.0175,0.8326,14.6936,0.0175,31.2500,39.5833,45.8333,16.6667,38.0952,45.2381,18.4211,26.3158,34.2105,0.0000,0.0000,0.0000,48,42,38
agent_performance_analysis/rebuttal/on-memgui-128/venus.csv,5.4688,6.2500,7.8125,2.6087,0.0452,1.6529,1.0348,12.1633,0.0000,1.0078,10.9572,0.0000,1.0312,11.5584,0.0000,14.5833,16.6667,20.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.9444,1.2195,0.0000,48,42,38
